1-p,Lz=12,Lz=8,Lz=7
1,0.00E+00,0,0.00E+00
0.998,0.00E+00,0,0.00E+00
0.996,0.00E+00,0,0.00E+00
0.994,0.00E+00,0,0.00E+00
0.992,0.00E+00,0,0.00E+00
0.99,0.00E+00,0,0.00E+00
0.988,0.00E+00,0,0.00E+00
0.986,0.00E+00,0,0.00E+00
0.984,0.00E+00,0,0.00E+00
0.982,0.00E+00,0,0.00E+00
0.98,0.00E+00,0,0.00E+00
0.978,0.00E+00,0,0.00E+00
0.976,0.00E+00,0,0.00E+00
0.974,0.00E+00,0,0.00E+00
0.972,0.00E+00,0,0.00E+00
0.97,0.00E+00,0,0.00E+00
0.968,0.00E+00,0,0.00E+00
0.966,0.00E+00,0,0.00E+00
0.964,0.00E+00,0,0.00E+00
0.962,0.00E+00,0,0.00E+00
0.96,0.00E+00,0,0.00E+00
0.958,0.00E+00,0,0.00E+00
0.956,0.00E+00,0,0.00E+00
0.954,0.00E+00,0,0.00E+00
0.952,0.00E+00,0,0.00E+00
0.95,0.00E+00,0,0.00E+00
0.948,0.00E+00,0,0.00E+00
0.946,0.00E+00,0,0.00E+00
0.944,0.00E+00,0,0.00E+00
0.942,0.00E+00,0,0.00E+00
0.94,0.00E+00,0,0.00E+00
0.938,0.00E+00,0,0.00E+00
0.936,0.00E+00,0,0.00E+00
0.934,0.00E+00,0,0.00E+00
0.932,0.00E+00,0,0.00E+00
0.93,0.00E+00,0,0.00E+00
0.928,0.00E+00,0,0.00E+00
0.926,0.00E+00,0,0.00E+00
0.924,0.00E+00,0,0.00E+00
0.922,0.00E+00,0,0.00E+00
0.92,0.00E+00,0,0.00E+00
0.918,0.00E+00,0,0.00E+00
0.916,0.00E+00,0,0.00E+00
0.914,0.00E+00,0,0.00E+00
0.912,0.00E+00,0,0.00E+00
0.91,0.00E+00,0,0.00E+00
0.908,0.00E+00,0,0.00E+00
0.906,0.00E+00,0,0.00E+00
0.904,0.00E+00,0,0.00E+00
0.902,0.00E+00,0,0.00E+00
0.9,0.00E+00,0,0.00E+00
0.898,0.00E+00,0,0.00E+00
0.896,0.00E+00,0,0.00E+00
0.894,0.00E+00,0,0.00E+00
0.892,0.00E+00,0,0.00E+00
0.89,0.00E+00,0,0.00E+00
0.888,0.00E+00,0,0.00E+00
0.886,0.00E+00,0,0.00E+00
0.884,0.00E+00,0,0.00E+00
0.882,0.00E+00,0,0.00E+00
0.88,0.00E+00,0,0.00E+00
0.878,0.00E+00,0,0.00E+00
0.876,0.00E+00,0,0.00E+00
0.874,0.00E+00,0,0.00E+00
0.872,0.00E+00,0,0.00E+00
0.87,0.00E+00,0,0.00E+00
0.868,0.00E+00,0,0.00E+00
0.866,0.00E+00,0,0.00E+00
0.864,0.00E+00,0,0.00E+00
0.862,0.00E+00,0,0.00E+00
0.86,0.00E+00,0,0.00E+00
0.858,0.00E+00,0,0.00E+00
0.856,0.00E+00,0,0.00E+00
0.854,0.00E+00,0,0.00E+00
0.852,0.00E+00,0,0.00E+00
0.85,0.00E+00,0,0.00E+00
0.848,0.00E+00,0,0.00E+00
0.846,0.00E+00,0,0.00E+00
0.844,0.00E+00,0,0.00E+00
0.842,0.00E+00,0,0.00E+00
0.84,0.00E+00,0,0.00E+00
0.838,0.00E+00,0,0.00E+00
0.836,0.00E+00,0,0.00E+00
0.834,0.00E+00,0,0.00E+00
0.832,0.00E+00,0,0.00E+00
0.83,0.00E+00,0,0.00E+00
0.828,0.00E+00,0,0.00E+00
0.826,0.00E+00,0,0.00E+00
0.824,0.00E+00,0,0.00E+00
0.822,0.00E+00,0,0.00E+00
0.82,0.00E+00,0,0.00E+00
0.818,0.00E+00,0,0.00E+00
0.816,0.00E+00,0,0.00E+00
0.814,0.00E+00,0,0.00E+00
0.812,0.00E+00,0,0.00E+00
0.81,0.00E+00,0,0.00E+00
0.808,0.00E+00,0,0.00E+00
0.806,0.00E+00,0,0.00E+00
0.804,0.00E+00,0,0.00E+00
0.802,0.00E+00,0,0.00E+00
0.8,0.00E+00,0,0.00E+00
0.798,0.00E+00,0,0.00E+00
0.796,0.00E+00,0,0.00E+00
0.794,0.00E+00,0,0.00E+00
0.792,0.00E+00,0,0.00E+00
0.79,0.00E+00,0,0.00E+00
0.788,0.00E+00,0,0.00E+00
0.786,0.00E+00,0,0.00E+00
0.784,0.00E+00,0,0.00E+00
0.782,0.00E+00,0,0.00E+00
0.78,0.00E+00,0,0.00E+00
0.778,0.00E+00,0,0.00E+00
0.776,0.00E+00,0,0.00E+00
0.774,0.00E+00,0,0.00E+00
0.772,0.00E+00,0,0.00E+00
0.77,0.00E+00,0,0.00E+00
0.768,0.00E+00,0,0.00E+00
0.766,0.00E+00,0,0.00E+00
0.764,0.00E+00,0,0.00E+00
0.762,0.00E+00,0,0.00E+00
0.76,0.00E+00,0,0.00E+00
0.758,0.00E+00,0,0.00E+00
0.756,0.00E+00,0,0.00E+00
0.754,0.00E+00,0,0.00E+00
0.752,0.00E+00,0,0.00E+00
0.75,0.00E+00,0,0.00E+00
0.748,0.00E+00,0,0.00E+00
0.746,0.00E+00,0,0.00E+00
0.744,0.00E+00,0,0.00E+00
0.742,0.00E+00,0,0.00E+00
0.74,0.00E+00,0,0.00E+00
0.738,0.00E+00,0,0.00E+00
0.736,0.00E+00,0,0.00E+00
0.734,0.00E+00,0,0.00E+00
0.732,0.00E+00,0,0.00E+00
0.73,0.00E+00,0,0.00E+00
0.728,0.00E+00,0,0.00E+00
0.726,0.00E+00,0,0.00E+00
0.724,0.00E+00,0,0.00E+00
0.722,0.00E+00,0,0.00E+00
0.72,0.00E+00,0,0.00E+00
0.718,0.00E+00,0,0.00E+00
0.716,0.00E+00,0,0.00E+00
0.714,0.00E+00,0,0.00E+00
0.712,0.00E+00,0,0.00E+00
0.71,0.00E+00,0,0.00E+00
0.708,0.00E+00,0,0.00E+00
0.706,0.00E+00,0,0.00E+00
0.704,0.00E+00,0,0.00E+00
0.702,0.00E+00,0,0.00E+00
0.7,0.00E+00,0,0.00E+00
0.698,0.00E+00,0,0.00E+00
0.696,0.00E+00,0,0.00E+00
0.694,0.00E+00,0,0.00E+00
0.692,0.00E+00,0,0.00E+00
0.69,0.00E+00,0,0.00E+00
0.688,0.00E+00,0,0.00E+00
0.686,0.00E+00,0,0.00E+00
0.684,0.00E+00,0,0.00E+00
0.682,0.00E+00,0,0.00E+00
0.68,0.00E+00,0,0.00E+00
0.678,0.00E+00,0,0.00E+00
0.676,0.00E+00,0,0.00E+00
0.674,0.00E+00,0,0.00E+00
0.672,0.00E+00,0,0.00E+00
0.67,0.00E+00,0,0.00E+00
0.668,0.00E+00,0,0.00E+00
0.666,0.00E+00,0,0.00E+00
0.664,0.00E+00,0,0.00E+00
0.662,0,0,0
0.66,0,0,0
0.658,0,0,0
0.656,0,0,0
0.654,0,0,0
0.652,0,0,0
0.65,0,0,0
0.648,0,0,0
0.646,0,0,0
0.644,0,0,0
0.642,0,0,0
0.64,0,0,0
0.638,0,0,0
0.636,0.02344,0,0
0.634,1,0,0
0.632,1,0,0
0.63,1,0,0
0.628,1,0,0
0.626,1,0,0
0.624,1,0,0
0.622,1,0,0
0.62,1,0.21875,0
0.618,1,1,0
0.616,1,1,0
0.614,1,1,0.07031
0.612,1,1,0.92969
0.61,1,1,1
0.608,1,1,1
0.606,1,1,1
0.604,1,1,1
0.602,1,1,1
0.6,1,1,1
0.598,1,1,1
0.596,1,1,1
0.594,1,1,1
0.592,1,1,1
0.59,1,1,1
0.588,1,1,1
0.586,1,1,1
0.584,1,1,1
0.582,1,1,1
0.58,1,1,1
0.578,1,1,1
0.576,1,1,1
0.574,1,1,1
0.572,1,1,1
0.57,1,1,1
0.568,1,1,1
0.566,1,1,1
0.564,1,1,1
0.562,1,1,1
0.56,1,1,1
0.558,1,1,1
0.556,1,1,1
0.554,1,1,1
0.552,1,1,1
0.55,1,1,1
0.548,1,1,1
0.546,1,1,1
0.544,1,1,1
0.542,1,1,1
0.54,1,1,1
0.538,1,1,1
0.536,1,1,1
0.534,1,1,1
0.532,1,1,1
0.53,1,1,1
0.528,1,1,1
0.526,1,1,1
0.524,1,1,1
0.522,1,1,1
0.52,1,1,1
0.518,1,1,1
0.516,1,1,1
0.514,1,1,1
0.512,1,1,1
0.51,1,1,1
0.508,1,1,1
0.506,1,1,1
0.504,1,1,1
0.502,1,1,1
0.5,1,1,1
0.498,1,1,1
0.496,1,1,1
0.494,1,1,1
0.492,1,1,1
0.49,1,1,1
0.488,1,1,1
0.486,1,1,1
0.484,1,1,1
0.482,1,1,1
0.48,1,1,1
0.478,1,1,1
0.476,1,1,1
0.474,1,1,1
0.472,1,1,1
0.47,1,1,1
0.468,1,1,1
0.466,1,1,1
0.464,1,1,1
0.462,1,1,1
0.46,1,1,1
0.458,1,1,1
0.456,1,1,1
0.454,1,1,1
0.452,1,1,1
0.45,1,1,1
0.448,1,1,1
0.446,1,1,1
0.444,1,1,1
0.442,1,1,1
0.44,1,1,1
0.438,1,1,1
0.436,1,1,1
0.434,1,1,1
0.432,1,1,1
0.43,1,1,1
0.428,1,1,1
0.426,1,1,1
0.424,1,1,1
0.422,1,1,1
0.42,1,1,1
0.418,1,1,1
0.416,1,1,1
0.414,1,1,1
0.412,1,1,1
0.41,1,1,1
0.408,1,1,1
0.406,1,1,1
0.404,1,1,1
0.402,1,1,1
0.4,1,1,1
0.398,1,1,1
0.396,1,1,1
0.394,1,1,1
0.392,1,1,1
0.39,1,1,1
0.388,1,1,1
0.386,1,1,1
0.384,1,1,1
0.382,1,1,1
0.38,1,1,1
0.378,1,1,1
0.376,1,1,1
0.374,1,1,1
0.372,1,1,1
0.37,1,1,1
0.368,1,1,1
0.366,1,1,1
0.364,1,1,1
0.362,1,1,1
0.36,1,1,1
0.358,1,1,1
0.356,1,1,1
0.354,1,1,1
0.352,1,1,1
0.35,1,1,1
0.348,1,1,1
0.346,1,1,1
0.344,1,1,1
0.342,1,1,1
0.34,1,1,1
0.338,1,1,1
0.336,1,1,1
0.334,1,1,1
0.332,1,1,1
0.33,1,1,1
0.328,1,1,1
0.326,1,1,1
0.324,1,1,1
0.322,1,1,1
0.32,1,1,1
0.318,1,1,1
0.316,1,1,1
0.314,1,1,1
0.312,1,1,1
0.31,1,1,1
0.308,1,1,1
0.306,1,1,1
0.304,1,1,1
0.302,1,1,1
0.3,1,1,1
0.298,1,1,1
0.296,1,1,1
0.294,1,1,1
0.292,1,1,1
0.29,1,1,1
0.288,1,1,1
0.286,1,1,1
0.284,1,1,1
0.282,1,1,1
0.28,1,1,1
0.278,1,1,1
0.276,1,1,1
0.274,1,1,1
0.272,1,1,1
0.27,1,1,1
0.268,1,1,1
0.266,1,1,1
0.264,1,1,1
0.262,1,1,1
0.26,1,1,1
0.258,1,1,1
0.256,1,1,1
0.254,1,1,1
0.252,1,1,1
0.25,1,1,1
0.248,1,1,1
0.246,1,1,1
0.244,1,1,1
0.242,1,1,1
0.24,1,1,1
0.238,1,1,1
0.236,1,1,1
0.234,1,1,1
0.232,1,1,1
0.23,1,1,1
0.228,1,1,1
0.226,1,1,1
0.224,1,1,1
0.222,1,1,1
0.22,1,1,1
0.218,1,1,1
0.216,1,1,1
0.214,1,1,1
0.212,1,1,1
0.21,1,1,1
0.208,1,1,1
0.206,1,1,1
0.204,1,1,1
0.202,1,1,1
0.2,1,1,1
0.198,1,1,1
0.196,1,1,1
0.194,1,1,1
0.192,1,1,1
0.19,1,1,1
0.188,1,1,1
0.186,1,1,1
0.184,1,1,1
0.182,1,1,1
0.18,1,1,1
0.178,1,1,1
0.176,1,1,1
0.174,1,1,1
0.172,1,1,1
0.17,1,1,1
0.168,1,1,1
0.166,1,1,1
0.164,1,1,1
0.162,1,1,1
0.16,1,1,1
0.158,1,1,1
0.156,1,1,1
0.154,1,1,1
0.152,1,1,1
0.15,1,1,1
0.148,1,1,1
0.146,1,1,1
0.144,1,1,1
0.142,1,1,1
0.14,1,1,1
0.138,1,1,1
0.136,1,1,1
0.134,1,1,1
0.132,1,1,1
0.13,1,1,1
0.128,1,1,1
0.126,1,1,1
0.124,1,1,1
0.122,1,1,1
0.12,1,1,1
0.118,1,1,1
0.116,1,1,1
0.114,1,1,1
0.112,1,1,1
0.11,1,1,1
0.108,1,1,1
0.106,1,1,1
0.104,1,1,1
0.102,1,1,1
0.1,1,1,1
0.098,1,1,1
0.096,1,1,1
0.094,1,1,1
0.092,1,1,1
0.09,1,1,1
0.088,1,1,1
0.086,1,1,1
0.084,1,1,1
0.082,1,1,1
0.08,1,1,1
0.078,1,1,1
0.076,1,1,1
0.074,1,1,1
0.072,1,1,1
0.07,1,1,1
0.068,1,1,1
0.066,1,1,1
0.064,1,1,1
0.062,1,1,1
0.06,1,1,1
0.058,1,1,1
0.056,1,1,1
0.054,1,1,1
0.052,1,1,1
0.05,1,1,1
0.048,1,1,1
0.046,1,1,1
0.044,1,1,1
0.042,1,1,1
0.04,1,1,1
0.038,1,1,1
0.036,1,1,1
0.034,1,1,1
0.032,1,1,1
0.03,1,1,1
0.028,1,1,1
0.026,1,1,1
0.024,1,1,1
0.022,1,1,1
0.02,1,1,1
0.018,1,1,1
0.016,1,1,1
0.014,1,1,1
0.012,1,1,1
0.01,1,1,1
0.008,1,1,1
0.006,1,1,1
0.004,1,1,1
0.002,1,1,1
0,1,1,1
